,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-2.23200e+00,-7.30e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.23171e+00,-7.30e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.23141e+00,-7.30e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.23112e+00,-7.30e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.23083e+00,-7.30e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.23054e+00,-7.34e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.23024e+00,-7.34e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.22995e+00,-7.32e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22966e+00,-7.34e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.22936e+00,-7.32e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22907e+00,-7.32e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.22878e+00,-7.32e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22848e+00,-7.34e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22819e+00,-7.32e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22790e+00,-7.32e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22761e+00,-7.32e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.22731e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22702e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22673e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22643e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22614e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22585e+00,-7.32e+00,1.20e+00,-3.50e-01,7.20e+00, 
-2.22555e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22526e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22497e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22468e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22438e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22409e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22380e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22350e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22321e+00,-7.34e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22292e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22263e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22233e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22204e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.22175e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.22145e+00,-7.32e+00,1.20e+00,-3.52e-01,7.20e+00, 
-2.22116e+00,-7.32e+00,1.20e+00,-3.52e-01,7.20e+00, 
-2.22087e+00,-7.34e+00,1.16e+00,-3.52e-01,7.20e+00, 
-2.22057e+00,-7.34e+00,1.16e+00,-3.52e-01,7.20e+00, 
-2.22028e+00,-7.32e+00,1.16e+00,-3.52e-01,7.20e+00, 
-2.21999e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.21970e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.21940e+00,-7.32e+00,1.16e+00,-3.52e-01,7.20e+00, 
-2.21911e+00,-7.32e+00,1.16e+00,-3.52e-01,7.20e+00, 
-2.21882e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.21852e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.21823e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.21794e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.21764e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.21735e+00,-7.34e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.21706e+00,-7.34e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.21677e+00,-7.34e+00,1.20e+00,-3.51e-01,7.00e+00, 
-2.21647e+00,-7.32e+00,1.20e+00,-3.51e-01,7.20e+00, 
-2.21618e+00,-7.32e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.21589e+00,-7.34e+00,1.16e+00,-3.50e-01,7.20e+00, 
-2.21559e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
-2.21530e+00,-7.34e+00,1.16e+00,-3.51e-01,7.20e+00, 
