,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-2.40000e+00,-9.72e+00,2.80e-02,-3.18e-01,-9.68e+00, 
-2.39600e+00,-9.66e+00,3.20e-02,-2.99e-01,-9.64e+00, 
-2.39200e+00,-9.68e+00,3.20e-02,-2.97e-01,-9.68e+00, 
-2.38800e+00,-9.62e+00,3.20e-02,-3.14e-01,-9.56e+00, 
-2.38400e+00,-9.62e+00,3.20e-02,-3.22e-01,-9.60e+00, 
-2.38000e+00,-9.58e+00,3.00e-02,-3.14e-01,-9.52e+00, 
-2.37600e+00,-9.60e+00,2.80e-02,-3.13e-01,-9.52e+00, 
-2.37200e+00,-9.54e+00,2.60e-02,-2.98e-01,-9.56e+00, 
-2.36800e+00,-9.58e+00,2.40e-02,-2.98e-01,-9.52e+00, 
-2.36400e+00,-9.66e+00,1.80e-02,-3.21e-01,-9.64e+00, 
-2.36000e+00,-9.66e+00,1.80e-02,-3.22e-01,-9.64e+00, 
-2.35600e+00,-9.76e+00,1.20e-02,-3.04e-01,-9.72e+00, 
-2.35200e+00,-9.74e+00,1.20e-02,-2.97e-01,-9.72e+00, 
-2.34800e+00,-9.80e+00,1.80e-02,-3.06e-01,-9.76e+00, 
-2.34400e+00,-9.78e+00,1.80e-02,-3.08e-01,-9.80e+00, 
-2.34000e+00,-9.82e+00,1.56e-01,-3.22e-01,-9.64e+00, 
-2.33600e+00,-9.82e+00,1.38e-01,-3.18e-01,-9.68e+00, 
-2.33200e+00,-9.78e+00,1.20e-02,-2.97e-01,-9.80e+00, 
-2.32800e+00,-9.82e+00,1.20e-02,-2.97e-01,-9.80e+00, 
-2.32400e+00,-9.76e+00,1.40e-02,-3.19e-01,-9.76e+00, 
-2.32000e+00,-9.78e+00,1.20e-02,-3.22e-01,-9.80e+00, 
-2.31600e+00,-9.72e+00,4.00e-03,-3.06e-01,-9.72e+00, 
-2.31200e+00,-9.72e+00,4.00e-03,-3.05e-01,-9.72e+00, 
-2.30800e+00,-9.62e+00,-2.00e-03,-2.97e-01,-9.60e+00, 
-2.30400e+00,-9.62e+00,0.00e+00,-3.06e-01,-9.64e+00, 
-2.30000e+00,-9.56e+00,-4.00e-03,-3.21e-01,-9.52e+00, 
-2.29600e+00,-9.56e+00,-2.00e-03,-3.17e-01,-9.56e+00, 
-2.29200e+00,-9.54e+00,-8.00e-03,-2.97e-01,-9.52e+00, 
-2.28800e+00,-9.54e+00,-8.00e-03,-2.97e-01,-9.52e+00, 
-2.28400e+00,-9.56e+00,-1.00e-02,-3.04e-01,-9.56e+00, 
-2.28000e+00,-9.54e+00,-1.00e-02,-3.02e-01,-9.52e+00, 
-2.27600e+00,-9.52e+00,-8.00e-03,-3.04e-01,-9.56e+00, 
-2.27200e+00,-9.52e+00,-1.00e-02,-3.02e-01,-9.52e+00, 
-2.26800e+00,-9.56e+00,-8.00e-03,-3.04e-01,-9.56e+00, 
-2.26400e+00,-9.54e+00,-8.00e-03,-3.02e-01,-9.52e+00, 
-2.26000e+00,-9.52e+00,-1.00e-02,-3.02e-01,-9.56e+00, 
-2.25600e+00,-9.52e+00,-6.00e-03,-3.02e-01,-9.52e+00, 
-2.25200e+00,-9.56e+00,-1.00e-02,-3.00e-01,-9.56e+00, 
-2.24800e+00,-9.54e+00,-8.00e-03,-3.00e-01,-9.52e+00, 
-2.24400e+00,-9.56e+00,-1.00e-02,-2.99e-01,-9.56e+00, 
-2.24000e+00,-9.56e+00,-1.00e-02,-2.99e-01,-9.52e+00, 
-2.23600e+00,-9.52e+00,-6.00e-03,-2.98e-01,-9.56e+00, 
-2.23200e+00,-9.54e+00,-8.00e-03,-2.98e-01,-9.52e+00, 
-2.22800e+00,-9.54e+00,-6.00e-03,-2.97e-01,-9.60e+00, 
-2.22400e+00,-9.54e+00,-8.00e-03,-2.97e-01,-9.52e+00, 
-2.22000e+00,-9.56e+00,-6.00e-03,-2.96e-01,-9.56e+00, 
-2.21600e+00,-9.56e+00,-8.00e-03,-2.96e-01,-9.52e+00, 
-2.21200e+00,-9.52e+00,-8.00e-03,-2.97e-01,-9.56e+00, 
-2.20800e+00,-9.56e+00,-8.00e-03,-2.96e-01,-9.56e+00, 
-2.20400e+00,-9.52e+00,-6.00e-03,-2.97e-01,-9.52e+00, 
-2.20000e+00,-9.56e+00,-8.00e-03,-2.96e-01,-9.56e+00, 
-2.19600e+00,-9.52e+00,-6.00e-03,-2.97e-01,-9.52e+00, 
-2.19200e+00,-9.54e+00,-6.00e-03,-2.96e-01,-9.52e+00, 
