,CH3
Second,Volt
-1.84000e+00,-3.34e-01, 
-1.83927e+00,-3.34e-01, 
-1.83854e+00,-3.34e-01, 
-1.83780e+00,-3.34e-01, 
-1.83707e+00,-3.34e-01, 
-1.83634e+00,-3.33e-01, 
-1.83561e+00,-3.32e-01, 
-1.83487e+00,-3.32e-01, 
-1.83414e+00,-3.32e-01, 
-1.83341e+00,-3.31e-01, 
-1.83268e+00,-3.31e-01, 
-1.83194e+00,-3.30e-01, 
-1.83121e+00,-3.30e-01, 
-1.83048e+00,-3.30e-01, 
-1.82975e+00,-3.30e-01, 
-1.82901e+00,-3.30e-01, 
-1.82828e+00,-3.29e-01, 
-1.82755e+00,-3.29e-01, 
-1.82682e+00,-3.28e-01, 
-1.82608e+00,-3.28e-01, 
-1.82535e+00,-3.27e-01, 
-1.82462e+00,-3.27e-01, 
-1.82389e+00,-3.27e-01, 
-1.82315e+00,-3.27e-01, 
-1.82242e+00,-3.26e-01, 
-1.82169e+00,-3.26e-01, 
-1.82096e+00,-3.26e-01, 
-1.82022e+00,-3.26e-01, 
-1.81949e+00,-3.26e-01, 
-1.81876e+00,-3.26e-01, 
-1.81803e+00,-3.27e-01, 
-1.81729e+00,-3.26e-01, 
-1.81656e+00,-3.26e-01, 
-1.81583e+00,-3.26e-01, 
-1.81510e+00,-3.26e-01, 
-1.81437e+00,-3.26e-01, 
-1.81363e+00,-3.26e-01, 
-1.81290e+00,-3.26e-01, 
-1.81217e+00,-3.26e-01, 
-1.81144e+00,-3.26e-01, 
-1.81070e+00,-3.26e-01, 
-1.80997e+00,-3.26e-01, 
-1.80924e+00,-3.26e-01, 
-1.80851e+00,-3.26e-01, 
-1.80777e+00,-3.26e-01, 
-1.80704e+00,-3.26e-01, 
-1.80631e+00,-3.26e-01, 
-1.80558e+00,-3.26e-01, 
-1.80484e+00,-3.26e-01, 
-1.80411e+00,-3.26e-01, 
-1.80338e+00,-3.26e-01, 
-1.80265e+00,-3.25e-01, 
-1.80191e+00,-3.25e-01, 
-1.80118e+00,-3.26e-01, 
-1.80045e+00,-3.25e-01, 
-1.79972e+00,-3.24e-01, 
-1.79898e+00,-3.24e-01, 
-1.79825e+00,-3.24e-01, 
-1.79752e+00,-3.24e-01, 
-1.79679e+00,-3.24e-01, 
-1.79605e+00,-3.24e-01, 
-1.79532e+00,-3.23e-01, 
-1.79459e+00,-3.22e-01, 
-1.79386e+00,-3.22e-01, 
-1.79313e+00,-3.22e-01, 
-1.79239e+00,-3.22e-01, 
-1.79166e+00,-3.21e-01, 
