,CH3,CH4
Second,Volt,Volt
-2.23680e-01,2.70e-01,-1.39e-02, 
-2.23600e-01,2.70e-01,-1.39e-02, 
-2.23520e-01,2.70e-01,-1.39e-02, 
-2.23440e-01,2.70e-01,-1.39e-02, 
-2.23360e-01,2.70e-01,-1.39e-02, 
-2.23280e-01,2.70e-01,-1.39e-02, 
-2.23200e-01,2.70e-01,-1.39e-02, 
-2.23120e-01,2.70e-01,-1.39e-02, 
-2.23040e-01,2.70e-01,-1.39e-02, 
-2.22960e-01,2.70e-01,-1.39e-02, 
-2.22880e-01,2.70e-01,-1.39e-02, 
-2.22800e-01,2.70e-01,-1.39e-02, 
-2.22720e-01,2.71e-01,-1.39e-02, 
-2.22640e-01,2.70e-01,-1.39e-02, 
-2.22560e-01,2.70e-01,-1.39e-02, 
-2.22480e-01,2.70e-01,-1.39e-02, 
-2.22400e-01,2.70e-01,-1.39e-02, 
-2.22320e-01,2.71e-01,-1.39e-02, 
-2.22240e-01,2.70e-01,-1.39e-02, 
-2.22160e-01,2.70e-01,-1.39e-02, 
-2.22080e-01,2.71e-01,-1.39e-02, 
-2.22000e-01,2.71e-01,-1.39e-02, 
-2.21920e-01,2.71e-01,-1.39e-02, 
-2.21840e-01,2.71e-01,-1.39e-02, 
-2.21760e-01,2.71e-01,-1.39e-02, 
-2.21680e-01,2.71e-01,-1.39e-02, 
-2.21600e-01,2.71e-01,-1.39e-02, 
-2.21520e-01,2.71e-01,-1.39e-02, 
-2.21440e-01,2.71e-01,-1.39e-02, 
-2.21360e-01,2.72e-01,-1.39e-02, 
-2.21280e-01,2.72e-01,-1.39e-02, 
-2.21200e-01,2.72e-01,-1.39e-02, 
-2.21120e-01,2.72e-01,-1.39e-02, 
-2.21040e-01,2.72e-01,-1.39e-02, 
-2.20960e-01,2.72e-01,-1.39e-02, 
-2.20880e-01,2.73e-01,-1.39e-02, 
-2.20800e-01,2.73e-01,-1.39e-02, 
-2.20720e-01,2.73e-01,-1.39e-02, 
-2.20640e-01,2.73e-01,-1.39e-02, 
-2.20560e-01,2.73e-01,-1.39e-02, 
-2.20480e-01,2.73e-01,-1.39e-02, 
-2.20400e-01,2.73e-01,-1.39e-02, 
-2.20320e-01,2.74e-01,-1.39e-02, 
-2.20240e-01,2.74e-01,-1.39e-02, 
-2.20160e-01,2.74e-01,-1.39e-02, 
-2.20080e-01,2.74e-01,-1.39e-02, 
-2.20000e-01,2.73e-01,-1.39e-02, 
-2.19920e-01,2.74e-01,-1.39e-02, 
-2.19840e-01,2.74e-01,-1.39e-02, 
-2.19760e-01,2.74e-01,-1.39e-02, 
-2.19680e-01,2.74e-01,-1.39e-02, 
-2.19600e-01,2.74e-01,-1.39e-02, 
-2.19520e-01,2.74e-01,-1.39e-02, 
-2.19440e-01,2.74e-01,-1.39e-02, 
-2.19360e-01,2.74e-01,-1.39e-02, 
-2.19280e-01,2.75e-01,-1.39e-02, 
-2.19200e-01,2.74e-01,-1.39e-02, 
-2.19120e-01,2.74e-01,-1.39e-02, 
-2.19040e-01,2.75e-01,-1.39e-02, 
-2.18960e-01,2.75e-01,-1.39e-02, 
-2.18880e-01,2.75e-01,-1.39e-02, 
-2.18800e-01,2.75e-01,-1.39e-02, 
-2.18720e-01,2.75e-01,-1.39e-02, 
-2.18640e-01,2.75e-01,-1.39e-02, 
-2.18560e-01,2.75e-01,-1.39e-02, 
-2.18480e-01,2.75e-01,-1.39e-02, 
-2.18400e-01,2.75e-01,-1.39e-02, 
-2.18320e-01,2.75e-01,-1.39e-02, 
-2.18240e-01,2.76e-01,-1.39e-02, 
-2.18160e-01,2.76e-01,-1.39e-02, 
-2.18080e-01,2.76e-01,-1.39e-02, 
-2.18000e-01,2.76e-01,-1.39e-02, 
-2.17920e-01,2.76e-01,-1.39e-02, 
