,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.84000e-01,-6.54e+00,-6.84e+00,-3.22e-01,-7.60e+00, 
-1.83707e-01,-6.54e+00,-6.84e+00,-3.22e-01,-7.60e+00, 
-1.83414e-01,-6.54e+00,-6.84e+00,-3.22e-01,-7.60e+00, 
-1.83121e-01,-6.54e+00,-6.84e+00,-3.22e-01,-7.60e+00, 
-1.82828e-01,-6.54e+00,-6.84e+00,-3.22e-01,-7.60e+00, 
-1.82535e-01,-6.58e+00,-6.82e+00,-3.22e-01,-7.60e+00, 
-1.82242e-01,-6.56e+00,-6.84e+00,-3.21e-01,-8.00e+00, 
-1.81949e-01,-6.58e+00,-6.86e+00,-3.21e-01,-7.60e+00, 
-1.81656e-01,-6.58e+00,-6.84e+00,-3.21e-01,-7.60e+00, 
-1.81363e-01,-6.56e+00,-6.82e+00,-3.20e-01,-7.60e+00, 
-1.81070e-01,-6.56e+00,-6.86e+00,-3.20e-01,-7.60e+00, 
-1.80777e-01,-6.56e+00,-6.84e+00,-3.19e-01,-7.60e+00, 
-1.80484e-01,-6.54e+00,-6.82e+00,-3.18e-01,-7.60e+00, 
-1.80191e-01,-6.54e+00,-6.82e+00,-3.18e-01,-7.60e+00, 
-1.79899e-01,-6.56e+00,-6.84e+00,-3.18e-01,-7.60e+00, 
-1.79605e-01,-6.56e+00,-6.82e+00,-3.18e-01,-7.60e+00, 
-1.79312e-01,-6.54e+00,-6.84e+00,-3.17e-01,-7.60e+00, 
-1.79020e-01,-6.54e+00,-6.84e+00,-3.17e-01,-7.60e+00, 
-1.78727e-01,-6.52e+00,-6.86e+00,-3.16e-01,-7.60e+00, 
-1.78434e-01,-6.54e+00,-6.84e+00,-3.16e-01,-7.60e+00, 
-1.78141e-01,-6.54e+00,-6.84e+00,-3.16e-01,-7.60e+00, 
-1.77848e-01,-6.54e+00,-6.80e+00,-3.15e-01,-7.60e+00, 
-1.77555e-01,-6.54e+00,-6.82e+00,-3.15e-01,-7.60e+00, 
-1.77262e-01,-6.54e+00,-6.84e+00,-3.14e-01,-7.60e+00, 
-1.76969e-01,-6.54e+00,-6.84e+00,-3.14e-01,-7.60e+00, 
-1.76676e-01,-6.54e+00,-6.84e+00,-3.14e-01,-7.60e+00, 
-1.76383e-01,-6.52e+00,-6.82e+00,-3.14e-01,-7.60e+00, 
-1.76090e-01,-6.52e+00,-6.82e+00,-3.14e-01,-7.60e+00, 
-1.75797e-01,-6.56e+00,-6.82e+00,-3.13e-01,-7.60e+00, 
-1.75504e-01,-6.52e+00,-6.80e+00,-3.13e-01,-7.60e+00, 
-1.75211e-01,-6.52e+00,-6.82e+00,-3.12e-01,-7.60e+00, 
-1.74918e-01,-6.54e+00,-6.80e+00,-3.12e-01,-7.60e+00, 
-1.74625e-01,-6.52e+00,-6.80e+00,-3.12e-01,-7.60e+00, 
-1.74332e-01,-6.54e+00,-6.80e+00,-3.12e-01,-7.60e+00, 
-1.74039e-01,-6.52e+00,-6.82e+00,-3.12e-01,-7.60e+00, 
-1.73746e-01,-6.52e+00,-6.82e+00,-3.11e-01,-7.60e+00, 
-1.73453e-01,-6.54e+00,-6.80e+00,-3.11e-01,-7.60e+00, 
-1.73160e-01,-6.52e+00,-6.80e+00,-3.11e-01,-7.60e+00, 
-1.72867e-01,-6.52e+00,-6.80e+00,-3.11e-01,-7.60e+00, 
-1.72574e-01,-6.52e+00,-6.80e+00,-3.10e-01,-7.60e+00, 
-1.72281e-01,-6.52e+00,-6.80e+00,-3.10e-01,-7.60e+00, 
-1.71988e-01,-6.52e+00,-6.80e+00,-3.10e-01,-7.60e+00, 
-1.71695e-01,-6.52e+00,-6.80e+00,-3.10e-01,-7.60e+00, 
-1.71402e-01,-6.52e+00,-6.82e+00,-3.10e-01,-7.60e+00, 
-1.71109e-01,-6.52e+00,-6.80e+00,-3.10e-01,-7.60e+00, 
